"","subjNum","rxnTime","responses","timedOut","noMemory","Scene.File","Category","CatNum","ImNum","Face.File","Condition","Version","Subject.Repetition"
"11","002",37966.8999999985,"A large pool with multiple pictures hanging around it in the background.",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_9.jpg","Competitive",1,1
"41","002",33974.900000006,"A light colored pool with big windows and trees behind it.",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_13.jpg","Competitive",1,1
"52","003",188079,"outside water, either a lake or pond. On the edge of the water there were brownish-grey rocks or out of focus crocodiles/alligators, these were mostly on the right and a few smaller rocks on the left. The water appeared to be vividly blue and the land a green contrast. It was a sunny, bright day. There were trees on land also.",0,"false","fMRI Images/outdoor_14_18.jpg","Pond",14,18,"Face Stimuli/face_3.jpg","Baseline",2,1
"32","003",122718,"an indoor swimming pool, the accents in the room were white and off-white/nude color tones. There were chairs. No one in the pool. The pool was long and rectangular, and on the far side there was a smaller attached pool, or maybe hot tub, looking out to windows. ",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_5.jpg","Baseline",2,1
"62","003",186118.7,"Library, with two stories. On lower half of image, there were 4 or so red-ish/burgandy sitting chairs facing each other, surrounded by shelves and books. On both right and left side, you see the second floor with more shelving and books. The railing was a yellow or orangey color, it didn't seem to match the rest of decor. There did not appear to be people in the library",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_6.jpg","Baseline",2,1
"22","003",169630.8,"ice rink. One advertisement logo of scheels, no other advertisements along railing. There were 6-10 or so people on ice, one was kneeling or bent over. people were dressed in dark shades, black or blue. ice rink was white.",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_8.jpg","Baseline",2,1
"42","003",132622.9,"city street. Yellow street lines on right side of image. Tall buildings on both left and right. Only one car in top left quadrant of photo, appeared from oncoming traffic perspective. street view was not crowded, nearly no sign of people.",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_9.jpg","Baseline",2,1
"12","003",112502.6,"Sports field, such as soccer maybe. Grass was vivid lime green. the crowd was shades of dark blue. Crowd was also visible in right, left and top sides of photo. Players were on the field. Goals were on top and bottom of image with white lines on green grass. ",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_13.jpg","Baseline",2,1
"53","004",73390.7000000002,"a dimly lit library with dark wood and a ladder on the left. There are tables in a row on the bottom floor with lamps on them. ",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_3.jpg","Competitive",2,1
"43","004",67598.7999999998,"a beauty and the beast-like library with medium colored wood and a green fresco on the top right. There are white fans on the left and several lamps on. ",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_5.jpg","Competitive",2,1
"33","004",94390.7000000002,"a public library with three desks. There are white shelves that are sparsely filled with magazines in laminated folder with blue spines. ",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_6.jpg","Competitive",2,1
"63","004",76790.7999999998,"orange toned wood shelves packed with books. There is a fresco on the wall in the middle and two floors of shelves. A ballroom-like floor on the bottom. ",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_8.jpg","Competitive",2,1
"23","004",66134.6000000006,"a blue ceiling and round, white windows. The railings on the second floor are pink and have gold accents. The books are colorful and there are couches on the bottom floor. ",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_9.jpg","Competitive",2,1
"13","004",79039,"a college library. The ceiling is a curved, darker wood with recessed lighting. There is a balcony level in the back and tables in the foreground. Bookshelves are packed with books. Walls are painted a light green. ",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_13.jpg","Competitive",2,1
"64","005",144742.7,"an indoor pool that is has large windows on the right of the image. Two doors with windows. Each door has an orange colored mat in front of them. The door that is straight ahead has two large blue cushioned chairs on both sides. The large cushioned chairs are white and blue cushions. The pool shape is not an exact rectangle shape. It has some sides that cut into it to make it not a rectangle. The majority of colors are either white or blue. ",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_3.jpg","Baseline",3,1
"14","005",132406.3,"an ice rink where there are adults and children ice skating. One boy that appears to know how to ice skate has pinkish heavy duty gloves on and looks like he is going fast. There are other children in the image who are using red or blue devices that are to help them skate and keep their balance. There are more blue balancing devices than there are red. There is an adult woman who is wearing yellow and is skating. She is wearing black pants as well. ",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_5.jpg","Baseline",3,1
"24","005",105982.4,"a pond that is surrounded by green. There are trees everywhere and weeds that are green. In the reflection of the pond you can see the reflection of the trees. The trees a very green and do not appear to be brown or any other color. There plants that have a long brown thing attached to the plant on the bottom portion of the image. ",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_6.jpg","Baseline",3,1
"44","005",167350.899999999,"a library. The library has two fully shown tables each with four chairs. The tables and chair are wooden that are very light or caramel color. On each table there is a pipe like contraption that is acting like an arch on top of the arch. There is a large shelf that is housing some books. Each book has like a blue strip outlining the books. The books are neatly separated and not stacked on top of each other. On the left to the books, there is a desk that has books as well with the same blue outline. Behind the larger desk is another desk that has a black desktop monitor on it. ",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_8.jpg","Baseline",3,1
"54","005",122558.7,"a busy city. There is a red bus on the right side of the street and past the intersection. There is some scaffolding on both sides the street. There are signs advertising plays that are going on. There is someone in black on the screen. There is a sign for broadway, and another sign for The Lion King. The city looks dim and wet. The intersection is marked by thick white strips. ",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_9.jpg","Baseline",3,1
"34","005",153103,"a soccer field. The main colors are purple and some pink. There are clouds in the sky that cover it but can still see a portion of the blue sky. There is a large screen in the far distance and on the left and right to it there are seats for fans to sit. On the bottom portion of the image there are fans that are holding up four or five flags with the team's colors. The seats are purplish colored. The soccer field has no one on it. The field is green with white lines that help with the game. There are two white soccer goal posts. ",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_13.jpg","Baseline",3,1
"65","006",53174.4000000022,"an ice rink with two rows of neon orange chairs that are elevated above the people who are ice skating.",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_3.jpg","Competitive",3,1
"25","006",41822.6000000015,"an ice rink with a decent amount of people on it. Multiple kids had bright blue walkers to help them balance on the ice.",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_5.jpg","Competitive",3,1
"15","006",45022.8000000007,"an ice rink that had dark wooden beams on the ceiling ",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_6.jpg","Competitive",3,1
"45","006",57774.8000000007,"an ice rink with few people on the ice. The walls were very pale and lacking in color, matching the ice",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_8.jpg","Competitive",3,1
"55","006",29702.700000003,"an ice rink with a blue semi-circle high on the wall and blue metal beams on the ceiling",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_9.jpg","Competitive",3,1
"35","006",54686.8999999985,"a busy ice rink with a bright red or hot pink light on the ceiling. The skaters were wearing neon multi-colored ice skates on their feet, some were pink",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_13.jpg","Competitive",3,1
"66","007",147446.700000003,"An inside pool in a modern-typed house. 2 columns of ball shaped lights lining the ceiling and reflecting off the pool.",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_3.jpg","Baseline",4,1
"26","007",81262.5,"A pond in a vast field, with lily pads covering most of the pond surface and long grass all around.",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_5.jpg","Baseline",4,1
"36","007",66078.8000000007,"A library with a magazine station in the middle. A long desk with old-fashioned lamps lined in the center. A fan is in the corner.",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_6.jpg","Baseline",4,1
"56","007",112630.800000001,"A city street, E 54th street, with high buildings and a taxi heading down the road. A man in a trench-coat is walking down the shoulder.",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_8.jpg","Baseline",4,1
"16","007",126462.899999999,"A hockey rink. The stands are filled with bright red seats, and there are people with differently colored vests within the rink.",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_9.jpg","Baseline",4,1
"46","007",85534.6999999993,"A soccer field with a sign saying Banks Hall. The stands are filled with people.",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_13.jpg","Baseline",4,1
"27","008",76310.8000000007,"a city with the street sign that said E 54 pl. the street was fairly empty and the light was red. The was a one way sign on E 54 pl with all the cars traveling straight down the main road. ",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_3.jpg","Competitive",4,1
"47","008",93902.6999999993,"A city. there was a gray/silver car. The light was red. There was a no turning right sign at the stoplight. There was a CVS store and a person walking across the street with some type of very long pole. ",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_5.jpg","Competitive",4,1
"37","008",82783,"A city. There were many big signs. Some consisted of a Broadway sign, a Lion King play, and a news network. There was a red light and a red large bus. ",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_6.jpg","Competitive",4,1
"67","008",73454.8000000007,"A city. The light was yellow, about to turn red. There was a bus route sign that said if you turned right you would be on 3rd and it was a right only street. There was an orange bus and in the distance a large craine. ",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_8.jpg","Competitive",4,1
"57","008",78094.8999999985,"A gloomy city. There were orange cones in the back blocking off some of the road, a bus stop that was glass with an overhead and people standing under it. The light was red and there was a bike lane with someone walking into it. ",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_9.jpg","Competitive",4,1
"17","008",105454.600000001,"A mostly gray and neutral colored city. There was a big sign that said it was 48 or 43 degrees out. Two people walking across the street coming towards the photo. One was a person wearing red pants and a red hat and the other looked like maroon scrubs. A cab, red car, and a black car where driving towards the camera. ",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_13.jpg","Competitive",4,1
"68","009",49215.0999999978,"an ice rink. I recall viewing a kid and he is using a platform to help him skate. ",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_3.jpg","Baseline",5,1
"58","009",40726.3999999985,"I associate a brown room that is high up and it contained a big brown door and there were book shelves. ",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_5.jpg","Baseline",5,1
"48","009",32630.8000000007,"I saw a football game, I recall seeing a kid and his dad talking, the stadium was packed and I believe the people in the stands were wearing purple. ",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_6.jpg","Baseline",5,1
"28","009",52846.700000003,"I recall seeing an image of a city. I viewed a street and buildings surrounding it. One building had the number, 48. ",0,"false","fMRI Images/outdoor_8_28.jpg","Downtown Street",8,28,"Face Stimuli/face_8.jpg","Baseline",5,1
"18","009",31822.8999999985,"A pond, where there were flowers of some sort surrounding it, along with a grass area. ",0,"false","fMRI Images/outdoor_14_25.jpg","Pond",14,25,"Face Stimuli/face_9.jpg","Baseline",5,1
"38","009",35270.8000000007,"A large pool in the center taht was square shaped. There were bushes in vases lined up on the edge of the pool facing frontwards. ",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_13.jpg","Baseline",5,1
"29","010",108920.7,"a soccer stadium with blue and white as their colors. It is a perspective from the middle of the field looking at the other side with a blue banner on the right and a coke-a-cola banner on the left.",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_3.jpg","Competitive",5,1
"59","010",76127.6000000006,"a stadium with pink and black as the team colors. There is a sort of check mark pattern on the seats to the right and a pretty sunset in the background. ",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_5.jpg","Competitive",5,1
"39","010",78958.7000000002,"a soccer stadium with the picture being taken up from the field. The fans are wearing black and white. There is a big sign in the middle of the stadium with the words \""brew hall\"".",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_6.jpg","Competitive",5,1
"69","010",55702.7000000002,"a soccer stadium with a huge light bar arching over the stadium. It is dark outside and the team colors are hard to recognize. ",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_8.jpg","Competitive",5,1
"19","010",55855.0999999996,"a large stadium with blue and orange colors. There is a row of flags on the top of the stadium on the left side. ",0,"false","fMRI Images/outdoor_10_24.jpg","Soccer Stadium",10,24,"Face Stimuli/face_9.jpg","Competitive",5,1
"49","010",52014.3999999994,"a soccer stadium with fans wearing red. The stadium is large and behind it is a city scene and then beyond that a mountain range. ",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_13.jpg","Competitive",5,1
"110","011",64014.3999999994,"a library that has two stories. there are tables on the first floor with lamps on them. there is a railing around the second floor that is open to the first",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_3.jpg","Baseline",6,1
"410","011",30710.7999999998,"a very blue indoor pool. two pink chairs on the deck in the back left ",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_5.jpg","Baseline",6,1
"210","011",32062.6999999993,"a football stadium full of fans. the view is from the top of the stadium. ",0,"false","fMRI Images/outdoor_10_25.jpg","Soccer Stadium",10,25,"Face Stimuli/face_6.jpg","Baseline",6,1
"610","011",32974.7999999998,"a lake in a forest. the lake's surface is glassy",0,"false","fMRI Images/outdoor_14_26.jpg","Pond",14,26,"Face Stimuli/face_8.jpg","Baseline",6,1
"310","011",30455.1000000006,"a skating rink covered by a white tent. lots of people and children skate with winter clothes on",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_9.jpg","Baseline",6,1
"510","011",53350.8000000007,"a big city. street with cars. a gray car right in front. tall buildings ",0,"false","fMRI Images/outdoor_8_29.jpg","Downtown Street",8,29,"Face Stimuli/face_13.jpg","Baseline",6,1
"211","012",111982.4,"A dry swamp with a few houses surrounding it with little greenery.",0,"false","fMRI Images/outdoor_14_17.jpg","Pond",14,17,"Face Stimuli/face_3.jpg","Competitive",6,1
"611","012",105446.100000001,"A beautiful sky and a body of water with green lillypads.",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_5.jpg","Competitive",6,1
"411","012",44766.7000000011,"a blue sky and lake that had yellow flowers surrounding it.",0,"false","fMRI Images/outdoor_14_25.jpg","Pond",14,25,"Face Stimuli/face_6.jpg","Competitive",6,1
"511","012",49558.8000000007,"a river that had rocks surrounding it and a lot of greenery as well.",0,"false","fMRI Images/outdoor_14_26.jpg","Pond",14,26,"Face Stimuli/face_8.jpg","Competitive",6,1
"311","012",26942.5,"a very bright green swamp with a lot of moss.",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_9.jpg","Competitive",6,1
"111","012",55110.7000000011,"a beautiful blue sky and a lot of trees and grass below it as well as a body of water.",0,"false","fMRI Images/outdoor_14_18.jpg","Pond",14,18,"Face Stimuli/face_13.jpg","Competitive",6,1
"112","013",112342.5,"a huge soccer stadium, with many fans. There are 3-4 cameras in the picture and a huge arch over the the field. The stadium seats has a cover over them, but is open at the top. ",0,"false","fMRI Images/outdoor_10_4.jpg","Soccer Stadium",10,4,"Face Stimuli/face_3.jpg","Baseline",1,2
"512","013",137886.399999999,"a library with multiple shelving of books, and there are tables and chairs. The ceiling is wooden with multiple circular ceiling lights. The lights are on. ",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_5.jpg","Baseline",1,2
"312","013",78422.299999997,"an intersection that looks to be downtown in a city. There is a green 3rd street sign and the light is yellow. There is an orange crane in the background of the picture.  ",0,"false","fMRI Images/outdoor_8_3.jpg","Downtown Street",8,3,"Face Stimuli/face_6.jpg","Baseline",1,2
"412","013",95094.5,"an ice skating rink. There is an USA olympic flag hanging from the ceiling. On the rink there is someone stacking orange traffic cones next to a women in a purple coat. ",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_8.jpg","Baseline",1,2
"212","013",82590.700000003,"an alge infested pond. The pond doesn't seem to be too deep in the front. There is a green plants around the pond. ",0,"false","fMRI Images/outdoor_14_17.jpg","Pond",14,17,"Face Stimuli/face_9.jpg","Baseline",1,2
"612","013",116398.799999997,"a deep end part of a swimming pool. On the 3 columns in the back of the picture there are a couple signs saying it goes 8ft deep. On the side of the pool there are more columns that say 7ft deep. ",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_13.jpg","Baseline",1,2
"113","014",74262.6999999993,"two pink chairs in the left corner, with two blue and pink paintings on the back wall, with one on the left wall, and light blue triangular beams on the roof.",0,"false","fMRI Images/indoor_1_11.jpg","Indoor Pool",1,11,"Face Stimuli/face_3.jpg","Competitive",1,2
"413","014",105390.5,"a concrete pillars with 7 foot and 8 foot deep writing on them, a little plant on the back right side of the wall, and a white chair and white couch behind the pool",0,"false","fMRI Images/indoor_1_1.jpg","Indoor Pool",1,1,"Face Stimuli/face_5.jpg","Competitive",1,2
"513","014",165694.100000001,"a wooden ceiling shaped like a curvy triangle, with a railing angeled down in the pool, two sliding doors, white pillows on couches, the side of the pool with the railing had like a half cylinder shape. ",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_6.jpg","Competitive",1,2
"213","014",86286.8000000007,"two tubes by the roof, one was blue and the other was yellow, 5 trees and 5 chairs behind the pool, the roof was kind of a sky roof and wasn't flat but was like curved outward. ",0,"false","fMRI Images/indoor_1_6.jpg","Indoor Pool",1,6,"Face Stimuli/face_8.jpg","Competitive",1,2
"613","014",135918.5,"squared glass in the back, with 2 columns on each side of the pool, the shape of the pool got a little narrowed at the back, and white chairs around the pool. ",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_9.jpg","Competitive",1,2
"313","014",110766.699999999,"blue cooshins on white furniture, a black musical decoration on the left side",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_13.jpg","Competitive",1,2
"614","015",35038.700000003,"A pond or small lake surrounding by green grass and green trees, also a clear blue sky.",0,"false","fMRI Images/outdoor_14_18.jpg","Pond",14,18,"Face Stimuli/face_3.jpg","Baseline",2,2
"414","015",32126.700000003,"An ice skating arena with 9 people. One of the people is slightly hidden behind someone else.",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_5.jpg","Baseline",2,2
"514","015",33542.6000000015,"A soccer game from a higher view behind one of the teams goals and the teams are blue and white.",0,"false","fMRI Images/outdoor_10_5.jpg","Soccer Stadium",10,5,"Face Stimuli/face_6.jpg","Baseline",2,2
"314","015",62654.6000000015,"A colorful library, with 2 stories. No people but full of variety colored books.",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_8.jpg","Baseline",2,2
"114","015",26838.8000000007,"A city, with a public transport, a trolly or bus. And lots of people walking. ",0,"false","fMRI Images/outdoor_8_14.jpg","Downtown Street",8,14,"Face Stimuli/face_9.jpg","Baseline",2,2
"214","015",22806.6000000015,"A big pool that goes to the outside where it is clear skies and sunny and there are two palm trees.",0,"false","fMRI Images/indoor_1_3.jpg","Indoor Pool",1,3,"Face Stimuli/face_13.jpg","Baseline",2,2
"515","016",74230.700000003,"A library, it has a red fence around the upstiars level. the image is taken at a high level",0,"false","fMRI Images/indoor_3_11.jpg","Library",3,11,"Face Stimuli/face_3.jpg","Competitive",2,2
"615","016",81254.8000000007,"Fancy library, dark lighting. ladders all around to reach books that are high up. Designs on windows",0,"false","fMRI Images/indoor_3_19.jpg","Library",3,19,"Face Stimuli/face_5.jpg","Competitive",2,2
"215","016",47183,"A typical library. Four wooden chairs to each desk. metal bar going on top of all the desks.",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_6.jpg","Competitive",2,2
"415","016",43238.6000000015,"Dark Library, image taken from ground floor. Ladders all around to reach high books ",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_8.jpg","Competitive",2,2
"315","016",43214.5,"Strange angle of library. Only image faced this direction. Colorful library, well lit up ",0,"false","fMRI Images/indoor_3_9.jpg","Library",3,9,"Face Stimuli/face_9.jpg","Competitive",2,2
"115","016",44606.8999999985,"Image taken from upstairs, down below you see desks with lamps on all of them. Very dark library, multiple stories",0,"false","fMRI Images/indoor_3_23.jpg","Library",3,23,"Face Stimuli/face_13.jpg","Competitive",2,2
"316","017",84390.6000000015,"A soccer stadium with people wearing pink and black. The stands to the front and right are empty, but he ones on the right have people.",0,"false","fMRI Images/outdoor_10_9.jpg","Soccer Stadium",10,9,"Face Stimuli/face_3.jpg","Baseline",3,2
"216","017",51022.5,"A lake or a pond surrounded with a lot of trees and other plants.",0,"false","fMRI Images/outdoor_14_19.jpg","Pond",14,19,"Face Stimuli/face_5.jpg","Baseline",3,2
"416","017",125894.5,"a library with wooden tables and chairs. It is empty and the flooring is a green like color. Children's books seem to be on the shelves.",0,"false","fMRI Images/indoor_3_15.jpg","Library",3,15,"Face Stimuli/face_6.jpg","Baseline",3,2
"616","017",64150.3999999985,"An empty indoor pool which is small. The pool is small and the room is white with blue colored seating around the pool.",0,"false","fMRI Images/indoor_1_4.jpg","Indoor Pool",1,4,"Face Stimuli/face_8.jpg","Baseline",3,2
"116","017",84406.9000000022,"An ice rink where people of all ages are skating in a circle. Some people are using blue and red colored aids to help them not fall. The outside of the rink is small and empty.",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_9.jpg","Baseline",3,2
"516","017",79518.8000000007,"A city street with no cars outside of a red bus far away. There are tall buildings with advertisements on them such as The Lion King on both sides of the street.",0,"false","fMRI Images/outdoor_8_16.jpg","Downtown Street",8,16,"Face Stimuli/face_13.jpg","Baseline",3,2
"117","018",104086.800000001,"Ice skating rink with mostly children skating and point of view is from inside the rink but on the edge and not in the middle. ",0,"false","fMRI Images/indoor_9_14.jpg","Ice Skating",9,14,"Face Stimuli/face_3.jpg","Competitive",3,2
"317","018",95590.6999999993,"Ice skating rink with two children on the opposite end of the rink twirling in circles on skates. There are not many people skating. ",0,"false","fMRI Images/indoor_9_7.jpg","Ice Skating",9,7,"Face Stimuli/face_5.jpg","Competitive",3,2
"617","018",43070.5,"Skating rink from point of view of outside the rink and on the bleachers with the seats. ",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_6.jpg","Competitive",3,2
"417","018",60894.6999999993,"crowded skating rink with many people skating together in the same direction. ",0,"false","fMRI Images/indoor_9_5.jpg","Ice Skating",9,5,"Face Stimuli/face_8.jpg","Competitive",3,2
"517","018",41854.6000000015,"Skating rink outside with covering and string lights. There are children skating together but it is not too crowded. ",0,"false","fMRI Images/indoor_9_15.jpg","Ice Skating",9,15,"Face Stimuli/face_9.jpg","Competitive",3,2
"217","018",82950.6000000015,"Skating rink indoors with two children in front of crowd of skaters. One of the children has large red gloves. ",0,"false","fMRI Images/indoor_9_8.jpg","Ice Skating",9,8,"Face Stimuli/face_13.jpg","Competitive",3,2
"618","019",68654.400000006,"A pond that was had tall grass around it, in the pond there was lily pads, and in the background there were trees.",0,"false","fMRI Images/outdoor_14_22.jpg","Pond",14,22,"Face Stimuli/face_3.jpg","Baseline",4,2
"518","019",65678.700000003,"looking down at an ice rink from and angle, with red chairs in the stands, kid and families were ice skating on the rink",0,"false","fMRI Images/indoor_9_11.jpg","Ice Skating",9,11,"Face Stimuli/face_5.jpg","Baseline",4,2
"318","019",56422.8000000119,"of a blue swimming pool that was inside covered by a wood building with windows surrounding the pool",0,"false","fMRI Images/indoor_1_5.jpg","Indoor Pool",1,5,"Face Stimuli/face_6.jpg","Baseline",4,2
"118","019",64894.8000000119,"A city with skyscrapers, had a one way street sign pointing left, looking down the street it had a yellow car and two red traffic lights.",0,"false","fMRI Images/outdoor_8_26.jpg","Downtown Street",8,26,"Face Stimuli/face_8.jpg","Baseline",4,2
"418","019",55886.8000000119,"A football stadium, named Drew Hall stadium fans were wearing black clothing ",0,"false","fMRI Images/outdoor_10_12.jpg","Soccer Stadium",10,12,"Face Stimuli/face_9.jpg","Baseline",4,2
"218","019",55030.900000006,"A red library, had book cases surrounding the place, had a table with a light fixture hanging above it, also had a cart with books on it ",0,"false","fMRI Images/indoor_3_16.jpg","Library",3,16,"Face Stimuli/face_13.jpg","Baseline",4,2
